City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,salinopolis,-0.6136,-47.3561,85.35,65,56,13.71,BR,1701193222
89,papatowai,-46.5619,169.4708,46.45,72,95,11.86,NZ,1701193223
90,barmer,25.75,71.3833,67.57,40,0,8.93,IN,1701193223
91,kota kinabalu,5.9749,116.0724,76.98,88,20,3.44,MY,1701193223
92,dubbo,-32.25,148.6167,64.53,94,100,9.22,AU,1701193224
93,talnakh,69.4865,88.3972,-10.88,99,43,4.34,RU,1701193113
94,taltal,-25.4,-70.4833,67.91,68,17,9.69,CL,1701193224
95,coahuayana de hidalgo,18.7,-103.6583,87.87,52,100,2.8,MX,1701193224
96,san mateo del mar,16.2,-95.0,81.55,66,64,34.47,MX,1701193225
97,akdepe,42.0551,59.3788,46.49,69,100,15.48,TM,1701193225
98,tommot,58.9564,126.2925,1.81,93,100,9.82,RU,1701193225
99,thompson,55.7435,-97.8558,6.96,78,75,2.3,CA,1701193226
100,sandpoint,48.2766,-116.5533,37.72,74,0,0.0,US,1701193226
101,poso,-1.3959,120.7524,77.11,88,94,4.21,ID,1701193165
102,ilulissat,69.2167,-51.1,19.42,63,20,31.07,GL,1701193227
103,san casciano in val di pesa,43.6591,11.1895,50.41,87,0,3.44,IT,1701193227
104,la'ie,21.6477,-157.9253,73.36,91,38,6.2,US,1701193227
105,tazacorte,28.629,-17.9293,72.57,79,20,2.3,ES,1701193227
106,guamuchil,25.4667,-108.1,79.68,28,48,4.85,MX,1701193125
107,magadan,59.5667,150.8,6.94,74,99,9.69,RU,1701193228
108,viedma,-40.8135,-62.9967,85.84,20,100,12.37,AR,1701193228
109,iquique,-20.2208,-70.1431,71.64,66,6,9.26,CL,1701193228
110,cukai,4.25,103.4167,76.95,90,100,5.26,MY,1701193160
111,turuntayevo,52.2,107.6167,10.49,95,100,5.17,RU,1701193229
112,tysmenytsya,48.9022,24.8448,32.5,80,100,4.52,UA,1701193229
113,gangapur,26.4833,76.7167,67.32,53,84,6.49,IN,1701193229
114,garachico,28.7781,-17.7646,69.91,53,20,2.3,ES,1701193229
115,tolanaro,-25.0319,46.9987,78.87,83,20,24.16,MG,1701193229
116,tiksi,71.6872,128.8694,1.38,90,100,20.04,RU,1701193230
117,n'zeto,-7.2312,12.8666,76.82,85,100,1.14,AO,1701193230
118,nadi,-17.8,177.4167,77.0,83,20,5.75,FJ,1701193230
119,kertih,4.5141,103.4483,77.02,100,100,0.0,MY,1701193231
120,muroto-misakicho,33.2833,134.15,55.83,58,1,13.56,JP,1701193231
121,new norfolk,-42.7826,147.0587,53.1,97,100,2.51,AU,1701193231
122,khorixas,-20.3667,14.9667,83.1,40,24,22.48,NA,1701193231
123,bardai,11.65,7.2333,81.97,25,53,7.18,NG,1701193231
124,ust'-kulom,61.6864,53.6902,20.12,96,74,5.37,RU,1701193232
125,arendal,58.4615,8.7725,19.2,57,100,13.87,NO,1701193232
126,luwuk,-0.9516,122.7875,78.17,87,97,1.74,ID,1701193232
127,pogar,52.554,33.2591,15.24,97,85,7.52,RU,1701193232
128,hawaiian paradise park,19.5933,-154.9731,72.03,86,0,5.75,US,1701193096
129,yarmouth,41.7057,-70.2286,42.1,48,75,20.0,US,1701193233
130,buka,40.8108,69.1986,58.08,29,79,2.44,UZ,1701193233
131,nuuk,64.1835,-51.7216,32.61,43,100,16.11,GL,1701193183
132,fort st. john,56.2499,-120.8529,37.29,65,75,24.16,CA,1701193213
133,akrehamn,59.2667,5.1833,27.41,54,0,8.05,NO,1701193233
134,myrina,39.8797,25.0742,65.44,68,40,33.38,GR,1701193234
135,sinop,41.7711,34.8709,43.23,57,58,18.03,TR,1701193234
136,ayaviri,-14.8864,-70.5889,60.84,40,84,2.33,PE,1701193234
137,port lincoln,-34.7333,135.8667,59.27,86,94,17.07,AU,1701193234
138,daru,-9.0763,143.2092,78.49,89,100,5.12,PG,1701193235
139,ciudad acuna,29.3232,-100.9522,58.41,41,100,8.05,MX,1701193012
140,dunedin,-45.8742,170.5036,46.8,70,61,8.99,NZ,1701193235
141,dazhou,31.2159,107.5009,57.88,67,100,5.88,CN,1701193057
142,lhokseumawe,5.1801,97.1507,77.61,90,100,5.21,ID,1701193235
143,grand falls-windsor,48.9332,-55.6649,49.5,91,100,11.99,CA,1701193236
144,akureyri,65.6835,-18.0878,31.93,100,75,0.0,IS,1701193164
145,utrik,11.2278,169.8474,80.83,76,88,17.36,MH,1701193236
146,kapuskasing,49.4169,-82.4331,10.49,78,100,13.8,CA,1701193236
147,lebu,-37.6167,-73.65,57.34,72,44,15.79,CL,1701193236
148,tromso,69.6496,18.957,19.42,93,20,2.3,NO,1701193237
149,khandyga,62.6667,135.6,-24.09,98,100,1.61,RU,1701193237
150,hasaki,35.7333,140.8333,45.28,38,1,11.18,JP,1701193237
151,kingston,17.997,-76.7936,86.23,72,75,4.61,JM,1701192957
152,port mathurin,-19.6833,63.4167,77.43,72,9,10.33,MU,1701193238
153,papao,-17.75,-149.55,82.08,84,94,23.91,PF,1701193238
154,gadzhiyevo,69.2551,33.3362,29.39,81,99,18.28,RU,1701193238
155,banda aceh,5.5577,95.3222,78.82,84,100,4.03,ID,1701193238
156,machico,32.7,-16.7667,74.03,80,20,16.11,PT,1701193238
157,taoudenni,22.6783,-3.9836,73.2,12,5,5.84,ML,1701193239
158,maturin,9.75,-63.1767,88.43,56,41,8.52,VE,1701193239
159,arteche,12.2645,125.4048,79.99,90,96,9.86,PH,1701193239
160,whitehorse,60.7161,-135.0538,20.17,68,20,2.3,CA,1701192981
161,brigantine,39.4101,-74.3646,40.01,44,0,23.02,US,1701193239
162,ola,59.5833,151.2833,6.71,76,100,9.82,RU,1701193240
163,gamba,-2.65,10.0,77.54,83,95,5.26,GA,1701193240
164,greenville,35.6127,-77.3663,50.16,38,0,11.5,US,1701193240
165,puerto ayora,-0.7393,-90.3518,80.56,95,75,11.99,EC,1701193240
166,avarua,-21.2078,-159.775,75.25,88,75,17.27,CK,1701193240
167,ca mau,9.1769,105.15,74.77,92,89,6.13,VN,1701193241
168,luderitz,-26.6481,15.1594,72.77,56,85,23.98,NA,1701193241
169,ta`u,-14.2336,-169.5144,80.64,82,100,18.1,AS,1701193241
170,tidjikja,18.5564,-11.4271,79.88,11,20,8.93,MR,1701193241
171,at-bashi,41.1702,75.8106,26.15,57,21,4.07,KG,1701193241
172,susuman,62.7833,148.1667,-18.47,100,100,1.68,RU,1701193242
